time,islands_size,island_capacity,islands_distance,islands_diversity,individual_count
195,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
196,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
197,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 16]","[24, 16]"
198,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
199,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
200,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
201,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
202,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
203,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
204,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
205,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
206,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
207,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 17]","[24, 17]"
208,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 18]","[24, 18]"
209,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 18]","[24, 18]"
210,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 18]","[24, 18]"
211,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 18]","[24, 18]"
212,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 18]","[24, 18]"
213,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 18]","[24, 18]"
214,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 19]","[24, 19]"
215,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[24, 19]","[24, 19]"
